id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Syble;Langosh;Kyle.Douglas@gmail.com;certainly naturally;2026-02-24T14:55:54;5830;14246
2;Shanny;Rutherford;Vita_Veum93@gmail.com;partially;2026-02-23T19:48:55;7922;29843
3;Ryann;Prosacco;Casper74@gmail.com;forgo;2026-02-24T08:46:30;13144;19479
4;Syble;Volkman;Johnpaul35@gmail.com;till because notarize;2026-02-24T09:21:10;9370;28194
5;Van;Lubowitz;David81@hotmail.com;meh;2026-02-24T06:47:32;10483;24247
6;Conor;Kutch;Jillian_Windler@gmail.com;rebuke mean primary;2026-02-23T21:36:38;11583;22789
7;Susana;Daniel;Jesus_Predovic@hotmail.com;management specific nimble;2026-02-24T18:50:10;23956;27643
8;Adela;Schinner;Bettye0@yahoo.com;a around willfully;2026-02-24T01:44:40;26406;11632
9;Mauricio;Botsford;Jimmie_Ankunding45@yahoo.com;stool gosh;2026-02-23T20:11:58;30036;5379
10;Ines;Bins;Nannie4@yahoo.com;before exaggerate presume;2026-02-24T09:27:35;9706;5355
